запрос выплатного (пенстонного) дела;звд
выплатное (пенстонное) дело;вд
макет выплатного (пенстонного) дела;мвд
запрос дополнительного аттестата;здат
дополнительный аттестат;дат
запрос дела МСК;здмск
дело МСК;дмск
запрос об оказаниии содействия в истребовании документов, необходимых для установления пенсии;зсид
ответ на запрос об оказаниии содействия в истребовании документов, необходимых для установления пенсии;осид
запрос об уточнении, дополнительных сведений, содержащихся в ИЛС ЗЛ;зилс
ответ на запрос об уточнении, дополнительных сведений, содержащихся в ИЛС ЗЛ;оилс
запрос о проведении проверки документов, представленных для установления и выплаты пенсий, в т. ч. при досрочном назначении страховой пенсии по старости;зп
ответ на запрос о проведении проверки документов, представленных для установления и выплаты пенсий, в т. ч. при досрочном назначении страховой пенсии по старости;оп
запрос о проведении опроса свидетелей для установления периодов работы на основании свидетельских показаний;зос
ответ на запрос о проведении опроса свидетелей для установления периодов работы на основании свидетельских показаний;оос
заблаговременная работа;****(зр)
